content,score,at,sentiment,clean_content
jelek tidak sesuai,1,2026-05-14 06:11:43.000000,negatif,jelek tidak sesuai
yang aku inginkan gak bisa,1,2026-05-12 05:41:22.000000,negatif,gak
memuaskan,5,2026-05-15 02:08:32.000000,positif,memuaskan
aplikasi bagus tapi lama banget proses nya tolong di perbaiki lagi yaa,3,2026-05-12 12:37:02.000000,netral,aplikasi bagus banget proses nya tolong perbaiki yaa
"aplikasi bodoh, gak guna. Informasi salah dan tidak benar",1,2026-05-12 13:24:32.000000,negatif,aplikasi bodoh gak informasi salah tidak
sangat baguss,3,2026-05-16 05:39:45.000000,netral,baguss
"biasa aja, kadang ngaco",3,2026-05-12 09:04:55.000000,netral,aja kadang ngaco
banyak update tapi sering bug lolllll,1,2026-05-13 14:40:20.000000,negatif,update bug lolllll
oon bgt,2,2026-05-15 13:36:24.000000,negatif,oon bgt
kenapa kok mesti eror,3,2026-05-14 04:57:59.000000,netral,mesti eror
tolol,1,2026-05-12 08:02:48.000000,negatif,tolol
fiturnya standar,3,2026-05-18 03:40:27.563182,netral,fiturnya standar
jelek,2,2026-05-16 13:41:03.000000,negatif,jelek
bagus,5,2026-05-13 14:50:17.000000,positif,bagus
kerenn,3,2026-05-12 21:05:04.000000,netral,kerenn
"Google play sangat baik sekali, lebih baik lagi banyak membuat aplikasi yang banyak membantu banyak orang bisa menghilangkan uang, bukan kaya. tentu jika ingin kaya y usaha dengan modal yang besar. semangat untuk Google play, sukses selalu dan salam sehat bagi semua pembuatan aplikasi yang di Google play ini, terimakasih 🙏",5,2026-05-12 05:05:10.000000,positif,google play aplikasi membantu orang menghilangkan uang bukan kaya kaya y usaha modal semangat google play sukses salam sehat pembuatan aplikasi google play terimakasih
fiturnya standar,3,2026-05-18 03:40:27.563182,netral,fiturnya standar
karna jelek udah butut jelek juga,1,2026-05-15 08:59:19.000000,negatif,karna jelek udah butut jelek
"semua nya sudah bagus.. tapi tolong tambahkan fitur untuk Scroll to top juga tolong,",5,2026-05-14 17:07:08.000000,positif,nya bagus tolong tambahkan fitur scroll to top tolong
"biasa aja, kadang ngaco",3,2026-05-12 09:04:55.000000,netral,aja kadang ngaco
bagus sih bagus tapi punya saya kok ngelek ngelek ya jadi harus ngulang terus sama kalo request gak pernah bener aku minta buatin scene malah dikasih foto sama ini kok bug nya banyak sekali. real bug nya ganggu sekali padahal aku udah banyak sekali memori disitu tapi kehapus setengah yang lama Gegara bug dan itu terus berulang aku paling gak suka yang aku minta secenya cerita malah di kasih foto,1,2026-05-13 23:56:53.000000,negatif,bagus sih bagus ngelek ngelek ya ngulang kalo request gak bener buatin scene dikasih foto bug nya real bug nya ganggu udah memori disitu kehapus gegara bug berulang gak suka secenya cerita kasih foto
bespren gw ini,5,2026-05-13 10:05:21.000000,positif,bespren gw
"disrh malah gamw mals gue jdi nya edit di sini , gw kasib bintang 5 deh biar nnti tmbh rajin kalo d srh bos",1,2026-05-11 16:16:52.000000,negatif,disrh gamw mals gue jdi nya edit gw kasib bintang deh biar nnti tmbh rajin kalo d srh bos
"harus upgrade ke go atau plus,GASUKA.",4,2026-05-15 01:19:47.000000,positif,upgrade go plusgasuka
"saya pengguna baru, jadi bintang 3 dulu ya.",3,2026-05-16 13:42:26.000000,netral,pengguna bintang ya
bagus tapi ada batasan,3,2026-05-15 04:29:01.000000,netral,bagus batasan
bagus sekali sangat membantu,5,2026-05-13 11:17:51.000000,positif,bagus membantu
bagus,5,2026-05-13 12:01:46.000000,positif,bagus
mantap,5,2026-05-14 20:45:57.000000,positif,mantap
kalo bisa mengedit Poto harus bagus ya😊🙏,3,2026-05-12 11:02:20.000000,netral,kalo mengedit poto bagus ya
bagus,5,2026-05-15 23:19:41.000000,positif,bagus
bagus,5,2026-05-16 10:18:45.000000,positif,bagus
"over-moralizing/guardrails, AI terlalu terprogram untuk menjadi aman, sering kali kehilangan kemampuan untuk membedakan antara diskusi analitis dan serangan personal, tidak membaca disclaimer dan memberikan user framing negatif pada sebuah topik general.",1,2026-05-14 13:30:36.000000,negatif,overmoralizingguardrails ai terprogram aman kali kehilangan kemampuan membedakan diskusi analitis serangan personal tidak membaca disclaimer user framing negatif topik general
nice,3,2026-05-12 14:46:40.000000,netral,nice
pengalaman penggunaan cukup normal,3,2026-05-18 03:40:27.563182,netral,pengalaman penggunaan normal
berbayar muluuuu,2,2026-05-13 04:41:51.000000,negatif,berbayar muluuuu
aplikasi nya udh bagus tolong kalo bisa jangan di kasih batasan buat bikin foto jadi kartun dan update terus aplikasi nya supaya lebih enak lagi terima kasih developer,5,2026-05-12 03:05:57.000000,positif,aplikasi nya udh bagus tolong kalo jangan kasih batasan bikin foto kartun update aplikasi nya enak terima kasih developer
"AI Paling Dongo, udah berlangganan masih sering error, apa apaan itu, mana di suruh buat link unduhan buat download gambar nya malah di buat 1 foto dengan 4 layout + 1 screenshoot-an link 1 - 3, norak bangett",2,2026-05-16 11:36:54.000000,negatif,ai dongo udah berlangganan error suruh link unduhan download gambar nya foto layout screenshootan link norak bangett
lumayan,5,2026-05-13 09:08:36.000000,positif,lumayan
sukaaa,4,2026-05-17 01:32:43.000000,positif,sukaaa
payah dan mengecewakan,1,2026-05-18 03:40:27.563182,negatif,payah mengecewakan
setelah update jadi parah obrolan sering terhenti dan harus ulang lagi,1,2026-05-14 09:56:31.000000,negatif,update parah obrolan terhenti ulang
bagus,5,2026-05-15 12:47:58.000000,positif,bagus
sangat bagus,5,2026-05-13 05:28:14.000000,positif,bagus
ini sii baguss tpi ada yangkurang,3,2026-05-16 06:40:01.000000,netral,sii baguss tpi yangkurang
sangat membantu,5,2026-05-12 07:24:08.000000,positif,membantu
bagus,5,2026-05-15 04:02:46.000000,positif,bagus
Bagus akurat,2,2026-05-16 18:49:58.000000,negatif,bagus akurat
jelek hasil fotonya,3,2026-05-14 07:31:08.000000,netral,jelek hasil fotonya
Bagus sih bagus tapi chat sebelumnya tiba tiba ngilang..terus tiba tiba muncul lagi..agak kesel tapi oke😇,3,2026-05-12 13:26:05.000000,netral,bagus sih bagus chat ngilangterus muncul lagiagak kesel oke
bagus,5,2026-05-13 07:51:49.000000,positif,bagus
sangan bagus dan menarik,5,2026-05-14 13:52:37.000000,positif,sangan bagus menarik
oon bgt,2,2026-05-15 13:36:24.000000,negatif,oon bgt
ini sii baguss tpi ada yangkurang,3,2026-05-16 06:40:01.000000,netral,sii baguss tpi yangkurang
belum akurat,3,2026-05-13 11:29:57.000000,netral,belum akurat
pengalaman penggunaan cukup normal,3,2026-05-18 03:40:27.563182,netral,pengalaman penggunaan normal
"kesel bgt sama chatgpt yang sekarang, mudah lupa, kaku, ngga asik dan cepet limit, balikin chatgpt kaya dulu lagi!",3,2026-05-15 14:22:25.000000,netral,kesel bgt chatgpt mudah lupa kaku ngga asik cepet limit balikin chatgpt kaya
berguna buat ngedit,3,2026-05-15 15:21:05.000000,netral,berguna ngedit
"ni AI akhir² ini susah banget diatur personalisasinya. kek ga ngefek mau diatur kaya gimana. soalnya apa² dikit² disuruh nahan emosi, butuh bantuan pemetaan masalah malah diinvalidate pengalamannya bahkan dibilang terlalu baperan bahkan sering banget salah tangkap konteks. gatau kenapa dr akhir 2025 sampe sekarang jawabannya mostly plenger. tolong dibenerin dong responnya biar lebih bagus. ga semua orang dateng buat curhat/butuh sumber aja.",1,2026-05-13 02:50:13.000000,negatif,ni ai susah banget diatur personalisasinya kek ga ngefek diatur kaya gimana dikit disuruh nahan emosi butuh bantuan pemetaan diinvalidate pengalamannya dibilang baperan banget salah tangkap konteks gatau dr sampe jawabannya mostly plenger tolong dibenerin responnya biar bagus ga orang dateng curhatbutuh sumber aja
hasil gambar jelek gak sesuai ekspektasi tasi,1,2026-05-17 02:08:15.000000,negatif,hasil gambar jelek gak sesuai ekspektasi tasi
pelit,1,2026-05-12 07:55:09.000000,negatif,pelit
"udah diupgrade dan bagus bet dan kalo disuruh nggambar suruh nulis yg kecil"" real g ubah hurufnya, detail banget. cuma 1 kekurangan kalo udah disuruh nggambar kalo dilanjutin ngobrol malah respon gambar mulu+masalahnya ada pas disuruh nggambar gagal terus alasan masalah prompt ke3 terlalu mirip bla bla bla, kalo disuruh nggambar mirip gimana? itu tugas tolong segera diperbaiki",3,2026-05-15 08:01:26.000000,netral,udah diupgrade bagus bet kalo disuruh nggambar suruh nulis yg real g ubah hurufnya detail banget kekurangan kalo udah disuruh nggambar kalo dilanjutin ngobrol respon gambar mulumasalahnya pas disuruh nggambar gagal alasan prompt bla bla bla kalo disuruh nggambar gimana tugas tolong diperbaiki
bagus sekali,5,2026-05-13 00:42:31.000000,positif,bagus
sangat Bagus Dan baik,3,2026-05-17 03:39:25.000000,netral,bagus
saya sangat senang dan puas dengan hasilnya,5,2026-05-14 08:18:40.000000,positif,senang puas hasilnya
lumayan lahhh,5,2026-05-12 10:37:36.000000,positif,lumayan lahhh
bagusss bgttt😍😍,5,2026-05-16 05:12:20.000000,positif,bagusss bgttt
belum terlalu sering digunakan,3,2026-05-18 03:40:27.563182,netral,belum
bagus,5,2026-05-15 16:30:54.000000,positif,bagus
baguss bangett buat ngerjain tugas,5,2026-05-13 17:06:11.000000,positif,baguss bangett ngerjain tugas
masa chatan doang ada batasnya sih,3,2026-05-16 15:19:09.000000,netral,chatan doang batasnya sih
cepat dan jawaban yang dicara benar,5,2026-05-15 03:18:49.000000,positif,cepat dicara
gak bagus,1,2026-05-16 04:37:19.000000,negatif,gak bagus
sngat membantu,5,2026-05-13 14:17:09.000000,positif,sngat membantu
"padahal jaringan bagus buat unduh gambar, malah tulisannya ""tidak ada koneksi tidak bisa mengunduh"" kalau gk salah gitu, malah gk bisa unduh padahal apknya bagus. tapi minusnya ya itu tadi",3,2026-05-12 13:06:26.000000,netral,jaringan bagus unduh gambar tulisannya tidak koneksi tidak mengunduh gk salah gitu gk unduh apknya bagus minusnya ya
"Aplikasinya cukup bagus hanya saja ada fitur bayar jika ingin jwbnya lebih cepat dan batas unggah foto hnya sedikit jika ingin lebih bnyk harus tingkatkan ke pro ATAU PLUS kadang benar jawabannya kadang salah. kadang jawabanku benar disalahin, tolong perbaiki lebih bagus kedepannya agar ya download nya juga tidak merasa kecewa. maaf aku kasih ranting 3 SEKIAN DAN TERIMAKASIH🙏",3,2026-05-15 22:28:32.000000,netral,aplikasinya bagus fitur bayar jwbnya cepat batas unggah foto hnya bnyk tingkatkan pro plus kadang jawabannya kadang salah kadang jawabanku disalahin tolong perbaiki bagus kedepannya ya download nya tidak kecewa maaf kasih ranting sekian terimakasih
saya sangat senang aplikasi ini sangat membantu saya untuk mengerjakan tugas-tugas sekolah saya,5,2026-05-12 12:12:26.000000,positif,senang aplikasi membantu tugastugas sekolah
bgus,3,2026-05-14 04:44:44.000000,netral,bgus
bagus,5,2026-05-16 16:00:06.000000,positif,bagus
Ini keren banget sih,5,2026-05-16 01:05:38.000000,positif,keren banget sih
buset bagus banget dah,5,2026-05-16 12:55:19.000000,positif,buset bagus banget dah
wlamakkkk,5,2026-05-13 11:31:57.000000,positif,wlamakkkk
"aplikasi nya sangat bagus. tapi tolong di tambahkan edit video, sekian terimakasih",3,2026-05-15 12:44:07.000000,netral,aplikasi nya bagus tolong tambahkan edit video sekian terimakasih
sangat bagus dan membantu,5,2026-05-15 13:02:02.000000,positif,bagus membantu
"programan tidak bagus, asal membuat sebuah jawaban, padahal dari jawaban tersebut udah gw jelasin menggunakan cakupan yang lebih luas, dan program tidak menerima hal tersebut. tolong perbaiki",1,2026-05-16 11:48:49.000000,negatif,programan tidak bagus udah gw jelasin cakupan luas program tidak menerima tolong perbaiki
sangat cocok bagi saya,5,2026-05-14 10:41:37.000000,positif,cocok
"kesel bgt sama chatgpt yang sekarang, mudah lupa, kaku, ngga asik dan cepet limit, balikin chatgpt kaya dulu lagi!",3,2026-05-15 14:22:25.000000,netral,kesel bgt chatgpt mudah lupa kaku ngga asik cepet limit balikin chatgpt kaya
pengerjaannya cepat tidak lama sih,3,2026-05-15 11:57:19.000000,netral,pengerjaannya cepat tidak sih
ui nya gak keluar saat di chat,1,2026-05-15 05:52:42.000000,negatif,ui nya gak chat
hasilnya bagus,4,2026-05-13 07:54:27.000000,positif,hasilnya bagus
bagus asik lagi,5,2026-05-13 15:09:09.000000,positif,bagus asik
kerenn,3,2026-05-12 21:05:04.000000,netral,kerenn
BERGUNA,5,2026-05-13 05:38:34.000000,positif,berguna
"aplikasi nya sangat bagus. tapi tolong di tambahkan edit video, sekian terimakasih",3,2026-05-15 12:44:07.000000,netral,aplikasi nya bagus tolong tambahkan edit video sekian terimakasih
bagus sih bagus tapi punya saya kok ngelek ngelek ya jadi harus ngulang terus sama kalo request gak pernah bener aku minta buatin scene malah dikasih foto sama ini kok bug nya banyak sekali. real bug nya ganggu sekali padahal aku udah banyak sekali memori disitu tapi kehapus setengah yang lama Gegara bug dan itu terus berulang aku paling gak suka yang aku minta secenya cerita malah di kasih foto,1,2026-05-13 23:56:53.000000,negatif,bagus sih bagus ngelek ngelek ya ngulang kalo request gak bener buatin scene dikasih foto bug nya real bug nya ganggu udah memori disitu kehapus gegara bug berulang gak suka secenya cerita kasih foto
kurang perfect 🤣,1,2026-05-15 10:37:40.000000,negatif,kurang perfect
"gampang error format prompt nya, tidak konsisten, tolong perbaikannya",1,2026-05-12 11:19:41.000000,negatif,gampang error format prompt nya tidak konsisten tolong perbaikannya
aplikasi tidak stabil,1,2026-05-18 03:40:27.563182,negatif,aplikasi tidak stabil
"setiap update pasti selalu ada kendala kalau mau bikin/kirim gambar, ga di update malah lemot.",2,2026-05-11 23:28:48.000000,negatif,update kendala bikinkirim gambar ga update lemot
tidak bagus,1,2026-05-14 04:01:32.000000,negatif,tidak bagus
baguss bangett akuu sukakkkkk,5,2026-05-16 13:05:28.000000,positif,baguss bangett akuu sukakkkkk
lambat gk sesuai,1,2026-05-13 08:53:54.000000,negatif,lambat gk sesuai
"apllikasi yang sangat bagus,rekomend download buat foto-foto jadi lebih bagus dan cantik",5,2026-05-13 07:39:28.000000,positif,apllikasi bagusrekomend download fotofoto bagus cantik
aplikasi sering crash,1,2026-05-18 03:40:27.563182,negatif,aplikasi crash
aplikasi bagus banget,3,2026-05-15 03:33:13.000000,netral,aplikasi bagus banget
mantap cop markocop aplikasi ini.,5,2026-05-12 05:43:24.000000,positif,mantap cop markocop aplikasi
jelek tidak sesuai,1,2026-05-14 06:11:43.000000,negatif,jelek tidak sesuai
baguss,3,2026-05-14 07:13:35.000000,netral,baguss
berbayar muluuuu,2,2026-05-13 04:41:51.000000,negatif,berbayar muluuuu
baik banget,5,2026-05-14 05:49:53.000000,positif,banget
"sangat membantu menurutku, tetapi durasi membuat imagenya lama banget☹️",3,2026-05-12 08:37:46.000000,netral,membantu menurutku durasi imagenya banget
jawaban nya suka gak nyambung,2,2026-05-15 05:41:05.000000,negatif,nya suka gak nyambung
ga becus si alan di suruh mna yg di kasih tau mna kek p a o k2 OOT X,1,2026-05-17 03:05:26.000000,negatif,ga becus si alan suruh mna yg kasih tau mna kek p a o k oot x
duh kenapa ka ini apanya kok habis update malah jadi lag trus ngerti gitu ngak diupdate kirain makin ngebut malah jadi parah gini,1,2026-05-12 13:26:03.000000,negatif,duh ka apanya habis update lag trus ngerti gitu ngak diupdate kirain ngebut parah gini
good tapi jangan diubah wajah kalo edit,5,2026-05-13 13:19:18.000000,positif,good jangan diubah wajah kalo edit
bagusssss,3,2026-05-13 15:00:32.000000,netral,bagusssss
aplikasi ini biasa saja untuk belajar,3,2026-05-18 03:40:27.563182,netral,aplikasi belajar
"jos,, enak ngeditnya",5,2026-05-16 17:32:15.000000,positif,jos enak ngeditnya
"jelek, ngeselin banget terus juga banyak limitnya",1,2026-05-16 23:44:59.000000,negatif,jelek ngeselin banget limitnya
jelek tidak sesuai,1,2026-05-14 06:11:43.000000,negatif,jelek tidak sesuai
tiba tiba ga bisa edit foto,1,2026-05-16 07:36:43.000000,negatif,ga edit foto
lumayan,3,2026-05-13 17:17:28.000000,netral,lumayan
"plis lah chat gpt kenapa pas ak mau ngedit foto suka gabisa, padahal ak juga ngedit nya ga berlebihan loohh, dan selalu bilang ak di bawah umur, why??, ak udh dewasa woyy, pliss😭, jadi tolong perbaiki ya chat gpt secepatnya tolong.",3,2026-05-13 08:46:02.000000,netral,plis chat gpt pas ak ngedit foto suka gabisa ak ngedit nya ga loohh bilang ak umur why ak udh dewasa woyy pliss tolong perbaiki ya chat gpt secepatnya tolong
"baguss banget aku suka, tapi minus nya harus berlangganan",4,2026-05-17 02:03:30.000000,positif,baguss banget suka minus nya berlangganan
ohh,5,2026-05-12 11:49:09.000000,positif,ohh
ngomong kok sama Ai,3,2026-05-12 09:58:53.000000,netral,ngomong ai
sangat membantu dan memuaskan,5,2026-05-16 13:25:23.000000,positif,membantu memuaskan
sangat membantu,5,2026-05-15 08:55:04.000000,positif,membantu
kenapa harus bayar kalo mau kirim poto,2,2026-05-14 10:04:45.000000,negatif,bayar kalo kirim poto
editan gw jadi gak main main,5,2026-05-13 03:28:56.000000,positif,editan gw gak main main
mantap,5,2026-05-12 00:22:26.000000,positif,mantap
bagus banget bisa kasih permahaman yg sangat ditel,3,2026-05-15 14:52:19.000000,netral,bagus banget kasih permahaman yg ditel
bagus,5,2026-05-15 09:05:35.000000,positif,bagus
sangat membantu sekali. terima kasih,5,2026-05-14 21:23:34.000000,positif,membantu terima kasih
karna nampak realistis,5,2026-05-16 11:39:55.000000,positif,karna nampak realistis
good,5,2026-05-14 11:48:00.000000,positif,good
"""chat GPT"" ini memudahkan saya untuk mengedit foto, mengerjakan PR dan masih banyak lagi yg bisa dia bantu. I LOVE YOU Chat GPT",5,2026-05-12 22:29:20.000000,positif,chat gpt memudahkan mengedit foto pr yg bantu i love you chat gpt
loading lama sekali,1,2026-05-18 03:40:27.563182,negatif,loading
kenapa harus bayar kalo mau kirim poto,2,2026-05-14 10:04:45.000000,negatif,bayar kalo kirim poto
bagus,3,2026-05-11 23:18:14.000000,netral,bagus
pengalaman penggunaan cukup normal,3,2026-05-18 03:40:27.563182,netral,pengalaman penggunaan normal
tolong kembalikan Chat GPT seperti dulu,1,2026-05-13 22:01:36.000000,negatif,tolong kembalikan chat gpt
waduh gak jelas ini padahal kemarin bagus bagus aja kok sekarang gw pakai jaringan kuat tapi dia delay juga gua donwload ulang itu dari sini katanya eror malah bilang aplikasi bukan yang terbaru apaan gw udah instal bru download lagi gak bisa,1,2026-05-15 17:44:14.000000,negatif,gak kemarin bagus bagus aja gw pakai jaringan kuat delay gua donwload ulang eror bilang aplikasi bukan terbaru gw udah instal bru download gak
banyak limitnya,1,2026-05-12 12:52:15.000000,negatif,limitnya
