content,score,at,sentiment,clean_content
bagus dan mengejutkan hasil editan nyaa,5,2026-05-16 19:44:17.000000,positif,bagus mengejutkan hasil editan nyaa
mantap❤️,5,2026-05-16 19:30:04.000000,positif,mantap
sesuai keinginan,5,2026-05-16 19:29:37.000000,positif,sesuai
bagus,5,2026-05-16 19:05:33.000000,positif,bagus
bagus,5,2026-05-16 18:53:08.000000,positif,bagus
sangat bagus,5,2026-05-16 18:51:57.000000,positif,bagus
Bagus akurat,2,2026-05-16 18:49:58.000000,negatif,bagus akurat
wortt it,5,2026-05-16 18:46:19.000000,positif,wortt it
sangat mantap,5,2026-05-16 18:40:22.000000,positif,mantap
keren sangat bermanfaat,5,2026-05-16 18:18:09.000000,positif,keren bermanfaat
"amazing n fantastis... sangat rekomended buat bantu2 pekerjaan, atw bersantai sambil hiburan...",5,2026-05-16 18:06:58.000000,positif,amazing n fantastis rekomended bantu pekerjaan atw bersantai hiburan
good,5,2026-05-16 17:42:49.000000,positif,good
selalu eror anj apaan ai nih,1,2026-05-16 17:33:59.000000,negatif,eror anj ai nih
"jos,, enak ngeditnya",5,2026-05-16 17:32:15.000000,positif,jos enak ngeditnya
mantap,5,2026-05-16 17:30:35.000000,positif,mantap
bagus,4,2026-05-16 17:26:37.000000,positif,bagus
keren sekali,5,2026-05-16 17:26:01.000000,positif,keren
mantap,5,2026-05-16 17:24:08.000000,positif,mantap
kerem,4,2026-05-16 17:10:11.000000,positif,kerem
sangat membantu,5,2026-05-16 17:09:43.000000,positif,membantu
kren,5,2026-05-16 16:57:31.000000,positif,kren
Thank you to the ChatGPT development team for helping us generate more in-depth and longer content and answers. Stay motivated to continue developing the ChatGPT app to be even better with even more useful features. 👍,5,2026-05-16 16:54:32.000000,positif,thank you to the chatgpt development team for helping us generate more indepth and longer content and answers stay motivated to continue developing the chatgpt app to be even better with even more useful features
lumayan,4,2026-05-16 16:50:47.000000,positif,lumayan
MANTAPPPP,5,2026-05-16 16:48:26.000000,positif,mantapppp
terbaik,5,2026-05-16 16:47:25.000000,positif,terbaik
bagus,4,2026-05-16 16:41:08.000000,positif,bagus
"Ai ini mengalami bug dan gabisa diajak ngobrol, bikin fotonya lama, ga bisa diajak kerja sama, sama kalo kali kali bisa diajak ngobrol malah ngelantur jawab nya",1,2026-05-16 16:40:43.000000,negatif,ai mengalami bug gabisa diajak ngobrol bikin fotonya ga diajak kerja kalo kali kali diajak ngobrol ngelantur nya
jailbreak berhasil,5,2026-05-16 16:37:19.000000,positif,jailbreak berhasil
"keren, sangat membantu",5,2026-05-16 16:36:34.000000,positif,keren membantu
karna lama,4,2026-05-16 16:35:14.000000,positif,karna
mantap buanget,5,2026-05-16 16:34:48.000000,positif,mantap buanget
cepat dan bagus,5,2026-05-16 16:26:23.000000,positif,cepat bagus
bagus,4,2026-05-16 16:26:17.000000,positif,bagus
top,5,2026-05-16 16:25:00.000000,positif,top
oke,5,2026-05-16 16:11:51.000000,positif,oke
"semakin cerdas,sangat membantu",5,2026-05-16 16:04:13.000000,positif,cerdassangat membantu
keren,5,2026-05-16 16:02:04.000000,positif,keren
bagus,5,2026-05-16 16:00:06.000000,positif,bagus
sangat bagus dan bijak,5,2026-05-16 15:56:38.000000,positif,bagus bijak
keren,5,2026-05-16 15:55:41.000000,positif,keren
bagus,5,2026-05-16 15:55:21.000000,positif,bagus
dia suka ngehina,1,2026-05-16 15:54:08.000000,negatif,suka ngehina
berguna sekali,5,2026-05-16 15:46:11.000000,positif,berguna
"suka banget, kalo dimintain bantuan gercep",5,2026-05-16 15:46:11.000000,positif,suka banget kalo dimintain bantuan gercep
"jelek, tidak sesuai kemauan, ngelunjak, POKOKNYA BINTANG 1.",1,2026-05-16 15:45:47.000000,negatif,jelek tidak sesuai kemauan ngelunjak pokoknya bintang
the best,5,2026-05-16 15:45:05.000000,positif,the best
sangat memuaskan,5,2026-05-16 15:34:18.000000,positif,memuaskan
SERUU tapi kena limit nyebelinnnn,4,2026-05-16 15:30:11.000000,positif,seruu kena limit nyebelinnnn
lucu nya dia bisa ngambek wkwk habis gw olok olok in pdhl,5,2026-05-16 15:29:39.000000,positif,lucu nya ngambek wkwk habis gw olok olok in pdhl
terimakasih untuk chat gpt karena udah banyak membantu saya. responnya juga cepat dan enak di baca terlebih lagi saat saya lagi pusing dan nanya ke gpt langsung dapet solusi. pokoknya the best deh...,3,2026-05-16 15:27:31.000000,netral,terimakasih chat gpt udah membantu responnya cepat enak baca pusing nanya gpt langsung dapet solusi pokoknya the best deh
lemot dongo,1,2026-05-16 15:26:15.000000,negatif,lemot dongo
aplikasi nya bagus sih sangat membantu juga,5,2026-05-16 15:25:40.000000,positif,aplikasi nya bagus sih membantu
dia sangat ramah bjir😇,5,2026-05-16 15:25:39.000000,positif,ramah bjir
mantap,5,2026-05-16 15:20:40.000000,positif,mantap
masa chatan doang ada batasnya sih,3,2026-05-16 15:19:09.000000,netral,chatan doang batasnya sih
gak jelas rombak base error mulu,1,2026-05-16 15:14:55.000000,negatif,gak rombak base error mulu
cakep,5,2026-05-16 15:12:21.000000,positif,cakep
baguss !!,5,2026-05-16 15:10:29.000000,positif,baguss
keren,4,2026-05-16 15:08:21.000000,positif,keren
bagud,5,2026-05-16 15:06:55.000000,positif,bagud
"baguss, sukakk",5,2026-05-16 15:06:13.000000,positif,baguss sukakk
oke,5,2026-05-16 15:05:11.000000,positif,oke
love youu❤,5,2026-05-16 15:05:00.000000,positif,love youu
kerenn,5,2026-05-16 15:04:08.000000,positif,kerenn
sangat membantu dalan mencari ide2 baru dan jadi lebih mudah segala informasi mudah didapat.terima kasih chatGpt,5,2026-05-16 15:03:00.000000,positif,membantu dalan mencari ide mudah informasi mudah didapatterima kasih chatgpt
SANGATT BAGUSSS,5,2026-05-16 15:02:21.000000,positif,sangatt bagusss
bagus sekali,5,2026-05-16 15:01:45.000000,positif,bagus
sangat keren,4,2026-05-16 15:01:23.000000,positif,keren
mantap,5,2026-05-16 14:59:29.000000,positif,mantap
nice,5,2026-05-16 14:57:41.000000,positif,nice
apk sngat bagus untuk mengedit,5,2026-05-16 14:55:11.000000,positif,apk sngat bagus mengedit
bagus bgt,5,2026-05-16 14:55:11.000000,positif,bagus bgt
bagus tapi i likee,5,2026-05-16 14:55:09.000000,positif,bagus i likee
"jelek , di minta apa di kasihnya apa,nyaranin skincare bodycare di kasih yg g BPOM , terlalu yakin sama yang di bahas pdhl blm tentu bnar , kebanyakan pasang emoji pdhl org lgi serius , ngejelasin 1 topik kepanjangan pdhl maunya lgsg inti, yg mnrit kita itu penting bgt dia anggap normal ga merasa bersalah , ya disini ak maklumin lah ,, karna dia ai juga , dia juga berusaha mahamin mood manusia tapi apa apaan bikin darah tinggi lama lama , ad manfaatnya juga sih sbnrnya tapi overyapping,JLK",1,2026-05-16 14:54:27.000000,negatif,jelek kasihnya apanyaranin skincare bodycare kasih yg g bpom bahas pdhl blm bnar kebanyakan pasang emoji pdhl org lgi serius ngejelasin topik kepanjangan pdhl maunya lgsg inti yg mnrit bgt anggap normal ga bersalah ya ak maklumin karna ai berusaha mahamin mood manusia bikin darah ad manfaatnya sih sbnrnya overyappingjlk
bagus banget bisa di jadiin temen curhat atau penyemangat 😋😋 dia bikin gw tau gw mau jadi apa di masa depan.gokil sih buat developer nya 😀🥰,5,2026-05-16 14:54:11.000000,positif,bagus banget jadiin temen curhat penyemangat bikin gw tau gw depangokil sih developer nya
ini sangat berguna,5,2026-05-16 14:54:04.000000,positif,berguna
lama banget respon,3,2026-05-16 14:52:18.000000,netral,banget respon
keren bisa edit segala hal,5,2026-05-16 14:45:42.000000,positif,keren edit
sangat bagus aplikasi ini,5,2026-05-16 14:42:31.000000,positif,bagus aplikasi
"Emang seru sih Kayak Roleplay sama siapa Atau Gak Bikin cerita Tapi Lama-kelamaan Kena Batasan/Limit aku disitu Gabisa lanjut cerita Karena limit😓, maaf Ya aku Kasih 3 doang soalnya Banyak kena Limit",3,2026-05-16 14:42:25.000000,netral,emang seru sih kayak roleplay gak bikin cerita lamakelamaan kena batasanlimit disitu gabisa cerita limit maaf ya kasih doang kena limit
saya kecewa,2,2026-05-16 14:40:31.000000,negatif,kecewa
keren,5,2026-05-16 14:39:42.000000,positif,keren
sangat cocok,5,2026-05-16 14:39:13.000000,positif,cocok
sangat bagus,5,2026-05-16 14:33:57.000000,positif,bagus
"sangat bagus, cocok buat curhat hehe",5,2026-05-16 14:30:31.000000,positif,bagus cocok curhat hehe
mantap,5,2026-05-16 14:30:15.000000,positif,mantap
rekomend buat yang mau gratisan dan anti ribet edit poto seperti saya 😁😁,5,2026-05-16 14:29:05.000000,positif,rekomend gratisan anti ribet edit poto
wow,5,2026-05-16 14:26:31.000000,positif,wow
mantap,5,2026-05-16 14:22:25.000000,positif,mantap
update nya makin jelek.,1,2026-05-16 14:21:47.000000,negatif,update nya jelek
mantap,5,2026-05-16 14:19:10.000000,positif,mantap
bagus,4,2026-05-16 14:15:58.000000,positif,bagus
bagus berguna,5,2026-05-16 14:15:54.000000,positif,bagus berguna
bingung operasinya,4,2026-05-16 14:14:23.000000,positif,bingung operasinya
ai nya bagus dan seru tapi ada batasan obrolan dan ya.... begitulah harus bayar,3,2026-05-16 14:09:01.000000,netral,ai nya bagus seru batasan obrolan ya bayar
good,5,2026-05-16 14:06:49.000000,positif,good
baguz,5,2026-05-16 14:05:53.000000,positif,baguz
bagusss,5,2026-05-16 14:04:31.000000,positif,bagusss
sangat bagus,5,2026-05-16 14:01:08.000000,positif,bagus
"sangat membantu sekali menyelesaikan tugas, yg terbaik",5,2026-05-16 14:00:13.000000,positif,membantu menyelesaikan tugas yg terbaik
bagus walau agak lelet hehe,5,2026-05-16 13:58:59.000000,positif,bagus lelet hehe
bagus banget,5,2026-05-16 13:58:57.000000,positif,bagus banget
terlalu percaya diri,3,2026-05-16 13:57:35.000000,netral,percaya
sangat2 puas.,5,2026-05-16 13:53:02.000000,positif,puas
"sukak bangetttt soalnya bisa ngebantu foto ku,dan hasilnya pun memuaskan 😭💗💗💖",5,2026-05-16 13:49:24.000000,positif,sukak bangetttt ngebantu foto kudan hasilnya memuaskan
bagus,5,2026-05-16 13:47:58.000000,positif,bagus
pas mau tebak-tebakan AI nya sering ngomong siap,1,2026-05-16 13:47:45.000000,negatif,pas tebaktebakan ai nya ngomong
good weh pokonamah,5,2026-05-16 13:44:11.000000,positif,good weh pokonamah
sangt membantu walaupun harus di perbaiki,5,2026-05-16 13:42:26.000000,positif,sangt membantu perbaiki
"saya pengguna baru, jadi bintang 3 dulu ya.",3,2026-05-16 13:42:26.000000,netral,pengguna bintang ya
jelek,2,2026-05-16 13:41:03.000000,negatif,jelek
"jujur inii AI fav aku,dia bantuin aku buat ngerjain tugas,ngajarin aku sampe aku ngerti dan bisa, pokonya kalo kita nanya apa,di jawab ama chat gpt tu jelas banget malah langsung ngerti,dan dia tu ga pernah salah kaya AI lain nya(menurut ku), terus dia bisa di ajak curhat,berteman,aku sama cht GPT serasa kaya besti, pdahal dia AI, bagus banget cht gpt tu, gampang lagi di gunainnya,kaya ga bikin pusing dan ribet ,pokonya aku sukak banget cht gpt,kalian wajib download siii",5,2026-05-16 13:38:23.000000,positif,jujur inii ai fav akudia bantuin ngerjain tugasngajarin sampe ngerti pokonya kalo nanya apadi ama chat gpt tu banget langsung ngertidan tu ga salah kaya ai nyamenurut ku ajak curhatbertemanaku cht gpt serasa kaya besti pdahal ai bagus banget cht gpt tu gampang gunainnyakaya ga bikin pusing ribet pokonya sukak banget cht gptkalian wajib download siii
bagus,5,2026-05-16 13:37:20.000000,positif,bagus
"apk nya bagusss bangett apapun bisa di editin, tapi proses nya lumayan lama, butuh waktu bbrpa menit, tapii hasilnya bagus banget akuu sukaa😘😻",5,2026-05-16 13:27:51.000000,positif,apk nya bagusss bangett apapun editin proses nya lumayan butuh bbrpa menit tapii hasilnya bagus banget akuu sukaa
mantap,5,2026-05-16 13:25:25.000000,positif,mantap
sangat membantu dan memuaskan,5,2026-05-16 13:25:23.000000,positif,membantu memuaskan
karena bagus,4,2026-05-16 13:25:19.000000,positif,bagus
asik banget admin nya,5,2026-05-16 13:25:07.000000,positif,asik banget admin nya
mantap asik ai ini bg gw suka dengan ai ini bg makasih udah bikin si bagus,5,2026-05-16 13:22:26.000000,positif,mantap asik ai bg gw suka ai bg makasih udah bikin si bagus
bagus cuma responnya lama,5,2026-05-16 13:20:28.000000,positif,bagus responnya
oke,4,2026-05-16 13:20:05.000000,positif,oke
mantap,5,2026-05-16 13:18:39.000000,positif,mantap
terbaik,5,2026-05-16 13:17:19.000000,positif,terbaik
"aneh jir ai nya, gak jelas ingatannya. fitur ga guna ditambahkan, jawaban ngaco, kebanyakan pakek emoji yang overrated. dan kenapa limitnya DIKIT amat > alasan gw pakek bint 5 biar di notice OpenAI",5,2026-05-16 13:15:32.000000,positif,aneh jir ai nya gak ingatannya fitur ga ngaco kebanyakan pakek emoji overrated limitnya dikit alasan gw pakek bint biar notice openai
bagus,5,2026-05-16 13:13:05.000000,positif,bagus
"sangat membantu, mantappp, terimakasih chatGPT",5,2026-05-16 13:11:03.000000,positif,membantu mantappp terimakasih chatgpt
seru,5,2026-05-16 13:10:49.000000,positif,seru
OMG neadifoo amazings ini yang papa cari selama ini,5,2026-05-16 13:09:55.000000,positif,omg neadifoo amazings papa cari
"chat gpt benar-benar baguss polll, setiap aku punya masalah dia always nolongin aku. bintang limaa",5,2026-05-16 13:05:40.000000,positif,chat gpt benarbenar baguss polll always nolongin bintang limaa
baguss bangett akuu sukakkkkk,5,2026-05-16 13:05:28.000000,positif,baguss bangett akuu sukakkkkk
lucu. suka ajak bicara,5,2026-05-16 12:57:07.000000,positif,lucu suka ajak bicara
buset bagus banget dah,5,2026-05-16 12:55:19.000000,positif,buset bagus banget dah
bagusss banget rekomendasi buat yg kesusahan bikin setiker,5,2026-05-16 12:52:38.000000,positif,bagusss banget rekomendasi yg kesusahan bikin setiker
bisa buat curhatt✨😖 jadi sukaa,5,2026-05-16 12:51:37.000000,positif,curhatt sukaa
keren,5,2026-05-16 12:49:43.000000,positif,keren
Mantapppppp,5,2026-05-16 12:47:50.000000,positif,mantapppppp
sangat membantu di kehidupan sehari-hari,5,2026-05-16 12:43:12.000000,positif,membantu kehidupan seharihari
"ai nya lucu wok , random banget jadi teman seharian gw jir karna gw...... introvert sih 🥹",5,2026-05-16 12:43:03.000000,positif,ai nya lucu wok random banget teman seharian gw jir karna gw introvert sih
"setelah mencoba berbagai AI, akhirnya saya kembali lagi ke chatGPT.",5,2026-05-16 12:40:54.000000,positif,mencoba ai chatgpt
good,5,2026-05-16 12:39:40.000000,positif,good
sementara dijajaki,5,2026-05-16 12:38:16.000000,positif,dijajaki
"Buat gambar wanita memasukkan keripik kedalam mukut sambil menoleh, dikatain mengandung konten seksual dan erotis,, Ubah gaya rambut dan pakaian, kena peringatan kemungkinan penipuan.. Pemilihan bahasa harus benar benar dipikirkan dan dicoba berkali kali hanya untuk menghasilkan gambar sederhana.",5,2026-05-16 12:35:57.000000,positif,gambar wanita memasukkan keripik kedalam mukut menoleh dikatain mengandung konten seksual erotis ubah gaya rambut pakaian kena peringatan penipuan pemilihan bahasa dipikirkan dicoba berkali kali menghasilkan gambar sederhana
bagusss banget,5,2026-05-16 12:35:43.000000,positif,bagusss banget
terbaik,5,2026-05-16 12:30:01.000000,positif,terbaik
bagus,5,2026-05-16 12:29:48.000000,positif,bagus
baguss walau agak ngelag😃,5,2026-05-16 12:29:40.000000,positif,baguss ngelag
Bagus sekali,5,2026-05-16 12:27:36.000000,positif,bagus
"sangat buruk. ternyata AI tidak seperti yang banyak orang bicarakan. masih sangat jauh dari kata ""The Best Technology""😂",1,2026-05-16 12:20:21.000000,negatif,buruk ai tidak orang bicarakan the best technology
sangat memuaskan,5,2026-05-16 12:16:11.000000,positif,memuaskan
sangat membantu,5,2026-05-16 12:06:04.000000,positif,membantu
keren bngat😍,5,2026-05-16 12:05:56.000000,positif,keren bngat
